	MTUS1	CELA1	EPPIN	RP11-219B4.5	FABP7	C2orf69	TFPI	ID4	ZNF227	RPS17L	SULT1C2	GPR144	C17orf47	ACSL4	VIPAS39	GPR183
TCGA-E9-A226-01A-21R-A157-07	9.03084204		1.34098842			7.5408697	7.15817218	5.82646364	6.90532997	10.94863236	0.92012823			8.13195842	8.05149199	5.77166977
TCGA-W8-A86G-01A-21R-A36F-07	10.41129407	1.9320478	1.74023943	1.34403887	5.94795326	6.93789731	6.95172091	9.34314381	7.77190814	4.96035792	3.49375221	7.49677479	2.18193133	7.71238136	8.3496351	4.12122218
TCGA-E9-A1RG-01A-11R-A14D-07	8.94181728		2.12492908		1.30599995	6.91292233	7.43207912	5.13439872	6.55146373	10.21224774	6.59703952			5.97692206	8.33336955	6.48181878
TCGA-E2-A1LB-01A-11R-A144-07	9.7304734	-0.42856839	2.37320279		11.75720186	7.51499581	7.13787443	6.70103689	8.577992	11.85363296	5.03453629		0.38420009	6.5151134	8.42244601	4.94259586
TCGA-D8-A1JA-01A-11R-A13Q-07	11.30307627	-0.31343371		-0.14396372	0.1906025	8.49946557	8.11441779	5.59363741	8.29016753	11.76986313	2.81089593		0.06981056	8.17051961	8.35314262	6.70703898
TCGA-AR-A1AQ-01A-11R-A12P-07	8.30387837		0.66500956	0.35495943	10.07959299	7.64862179	6.67868104	5.7895239	8.15001606	10.93614979	6.64221461			9.2841083	8.31435136	8.77582746
TCGA-AN-A049-01A-21R-A00Z-07	9.75673622			2.16194889	3.56449672	7.42742058	7.99322167	5.27527062	7.55141017	10.37809242	1.90584136	-0.26876009	0.90370093	7.69484491	8.4311755	7.89339697
TCGA-AC-A62Y-01A-11R-A29R-07	9.82605234	-0.20794716				8.08384883	7.37592613	7.42512012	7.86523039	11.76719422	3.81799427			7.64059636	7.93122651	8.87962992
TCGA-A8-A07F-01A-11R-A00Z-07	11.12011122	-0.40388856		-0.28553873	4.47099593	8.26041	7.28538483	5.99280671	8.45749252	9.42086527	2.8589018		2.2818096	7.99005087	7.86523039	7.22724278
TCGA-A7-A13D-01A-13R-A277-07	9.87921723		0.13821456		2.90496509	8.34612783	9.14187736	6.01380708	8.37298345	11.10903771	3.23628409		1.63325283	9.45936174	7.89423877	6.7767353
TCGA-A2-A3XX-01A-21R-A239-07	7.90837037			3.5415961	8.06915459	7.57562003	6.72383877	10.33265852	6.76449598	5.27464814	2.71915131		0.34369114	8.80870503	8.94908885	9.10609751
TCGA-GM-A3NW-01A-21R-A22K-07	9.55702314	2.65759559			3.30136559	7.85307778	9.61387887	9.647799	8.10625171	7.35941027	3.94179257	3.81918774	2.08417149	6.8721263	8.36057487	7.47138201
TCGA-D8-A1J9-01A-11R-A13Q-07	9.68915349	2.84420732		2.14788758	2.65628364	8.18239119	9.70568549	5.44619226	8.78349128	8.45884042	6.68382138		0.10568979	7.90837037	8.33184859	5.57754945
TCGA-BH-A0E7-01A-11R-A034-07	9.34236372		-1.37747455			8.01941277	6.435236	4.6378703	7.50269368	11.77260529	3.15973216			7.11351466	8.37337401	5.17894046
TCGA-AC-A2QH-01A-11R-A18M-07	8.56670941			0.68067884	9.14158047	8.15491947	9.95828243	8.09976773	9.15970735	11.75568575	2.97559211	-0.11798338	0.92182636	9.29073194	7.94321447	8.34573688
TCGA-C8-A8HR-01A-11R-A36F-07	9.3566277			-0.21731749	7.36377834	7.66966682	9.24053134	9.10645387	7.56652877	5.13216851	5.24902637	1.62149454	0.51626836	8.01858829	8.24434452	8.36032027
TCGA-EW-A1IX-01A-12R-A144-07	9.48575831	-0.4796324		1.77590845	1.62896349	7.57119377	7.56521787	6.891522	8.32791615	7.51136323	2.86693485	-1.08763377	0.87598222	7.54865138	8.34659491	7.85122368
TCGA-A2-A3XY-01A-11R-A239-07	8.42849247			2.43548744	11.43504359	7.42840794	8.15799567	10.86123115	7.38188168	0.88847218	3.88195756		1.6171006	9.00237019	8.75227679	9.70212485
TCGA-BH-A1FU-01A-11R-A14D-07	9.65414917	-0.64090235	-0.62418518	0.65048771	5.73747109	7.88895759	8.98456208	9.05050704	7.91732364	6.83735838	0.02787281	-0.34591696	-1.15099786	8.41819113	8.88098741	8.31151453
TCGA-B6-A0IM-01A-11R-A034-07	8.96702442	1.45626814	-0.16806182	0.48076386	-1.92523499	8.15721383	7.25522747	5.73832764	7.73171992	10.99146232	3.91741852			7.6214226	8.26202392	6.48517506
TCGA-BH-A0HU-01A-11R-A034-07	9.19122692		2.24246335	0.78097847	-0.57345628	7.9896429	6.86203931	6.23454032	7.83126358	10.77216352	5.56199766	-0.83192282	0.93209159	6.43192778	8.78388178	5.64272507
TCGA-AN-A0FX-01A-11R-A034-07	9.57682915		-0.42114236	3.54642172	9.63723718	7.39492428	7.45590741	11.47839291	9.54043014	2.79875017	1.96691293	0.33471307	1.02434796	8.29377875	7.91155867	6.37102786
TCGA-A7-A13G-01A-11R-A13Q-07	10.6689664		0.88906931		0.74941019	8.11403546	6.64873126	5.35300988	8.04997068	10.94268872	2.21275902		0.29839113	6.63035563	8.3048209	4.52293252
TCGA-AR-A24O-01A-11R-A169-07	10.82358327		-0.45766498	0.22875152	7.86574077	8.24318091	9.7883221	8.73349421	8.05486651	2.24030314	0.93832803	-0.15717064	-0.14630954	8.98663217	8.57468106	9.3538715
TCGA-B6-A0RO-01A-22R-A084-07	8.76627988		4.14047397	0.6667225	6.91345194	8.35374541	7.14420907	7.973957	7.29236413	11.79405663	0.67555768		-0.17247007	6.98968074	9.14529577	5.86608651
TCGA-BH-AB28-01A-31R-A41B-07	9.46801908	-0.70331633	1.31109105	-0.07925313	1.35645001	7.13633111	7.67417732	7.29236413	8.07505243	6.66492923	3.16752757	-0.38334659	1.06347824	7.15231123	8.45612544	7.5408697
TCGA-B6-A0RH-01A-21R-A115-07	9.65163095	1.75638756	0.1906025	0.24436387		7.55964994	7.63242578	6.79612276	7.89866891	8.60187853	2.46288425	-1.02953119	0.39207539	8.21277472	8.2457807	5.67992262
TCGA-PE-A5DC-01A-12R-A27Q-07	9.26426209	0.60484051			4.90108845	7.03989122	8.31629668	7.50091343	7.32743928	7.14307891	3.75837502	-1.27963496	1.41743389	6.56603282	8.02524355	5.91584812
TCGA-AR-A2LR-01A-12R-A18M-07	8.89101732		-0.36072266	3.30521989	11.05808515	6.84126521	7.33232887	11.59986271	8.9957613	1.52450723	1.56815355	-0.64790605	2.47385508	9.78694037	7.7901802	7.09111534
TCGA-BH-A0DT-01A-21R-A12D-07	10.83209677		1.82585019	1.44243343	4.71122124	7.55106977	8.39204964	7.41412287	7.97750274	7.6705726		0.11217379	1.52175653	7.86702454	8.37266062	7.95144528
TCGA-AC-A8OP-01A-11R-A36F-07	10.07122806		2.70348909	2.78414201	5.38797661	7.80354364	8.00187567	7.32393694	8.22110882	6.38773415	6.08306792	1.48448212	3.09336199	7.45911796	7.77286071	8.40116357
TCGA-B6-A0WX-01A-11R-A109-07	9.05925356				2.34655108	7.48275052	7.8830976	10.97652857	6.80202846	8.25072363	3.11865341		0.20550323	7.93577561	8.47490032	8.37992254
TCGA-PE-A5DE-01A-11R-A27Q-07	9.5998133	-0.15062498	1.53276622	0.88395788	5.35584069	7.12722831	7.05622136	6.54494853	7.69352575	10.91015816	3.84876503		-1.23107931	7.85347751	8.41126103	9.02050059
TCGA-A8-A08Z-01A-21R-A00Z-07	8.78013076	0.15407388		0.91516257		7.18209871	7.72451343	6.75727362	7.57068288	10.76686811	5.37184114		-1.33604847	8.62982878	8.76924155	7.79524948
TCGA-A8-A08P-01A-11R-A00Z-07	8.67536138					7.60889373	7.38188168	4.80631761	7.59689906	11.72063265	5.0860557		-1.55557074	7.58507799	8.17438582	7.08674746
TCGA-AR-A1AY-01A-21R-A12P-07	10.0785421			3.02498247	11.41009906	7.54738333	7.51723573	9.4389174	8.07731274	9.60888905	3.34058094	-1.19735365		8.74765175	8.27202209	7.52362917
TCGA-D8-A73X-01A-11R-A32P-07	9.98226065		-0.41035314	2.19445831	1.18868152	7.45299492	7.01771878	6.57085809	7.91118461	7.51136323	4.83590611		1.22818874	7.59111969	8.51180277	6.55146373
TCGA-AR-A5QM-01A-11R-A27Q-07	10.35130092		1.52175653		2.05216305	7.06119369	8.35246308	8.38164646	7.7598462	6.98590039	5.43416249	-0.49982608	-0.48980945	7.84062648	8.87345281	8.18601906
TCGA-D8-A27V-01A-12R-A17B-07	11.0721822	-1.40624515	-1.320733	0.57760701	2.6606261	8.22472008	8.95674223	8.2554401	8.56137827	7.32867419	3.26019737		-0.60244669	7.69965272	8.45919095	7.13361866
TCGA-AC-A3OD-01A-11R-A21T-07-1	10.54960281	-0.07191081	4.10366246	1.57570314	7.6347824	7.87826777	8.39130241	8.58880879	8.51285577	0.05467301	6.05654182	6.80399413	1.41310007	8.55535883	8.81473016	8.96657458
